Scientific name,Common name,Order,Family,Trophic level,Num. w plastic,Total num. sampled,FO of plastic,Mean num particles per indv,Habitat,Commercial status,IUCN status,Oceanographic province,Method type,Year of collection,Publication year,Reference,Polymer identification,Blanks used,Clean lab procedures,Size detection threshold (mm),Degree of prior sampling,Plastic FO in PICES region,Residency,Distribution in PICES region,Distribution globally,Already an indicator?,Threat of human exposure,Total bioindicator score,Notes
Hyporhamphus intermedius,Asian pencil halfbeak,Beloniformes,Hemiramphidae,3.4,18,18,1,3.7,pelagic-neritic,,Not assessed,CHIN,3,2015,2017,Jabeen et al. 2017,FTIR,lab blank,yes,0.005,2,4,4,1,3,2,3,19,Are these eaten whole? Should check
Lateolabrax japonicus,Japanese seabass,Perciformes,Lateolabracidae,3.1,18,18,1,2.1,reef-associated,,Not assessed,CHIN,3,2015,2017,Jabeen et al. 2017,FTIR,lab blank,yes,0.005,2,4,4,1,3,2,3,19,
Oxyeleotris marmorata,Marble goby,Perciformes,Eleotridae,3.9,18,18,1,4.2,demersal,,LC,CHIN,3,2015,2017,Jabeen et al. 2017,FTIR,lab blank,yes,0.005,2,4,4,1,3,2,3,19,
Pampus cinereus,Silver pomfret,Perciformes,Stromateidae,3.3,18,18,1,3,benthopelagic,,Not assessed,CHIN,3,2015,2017,Jabeen et al. 2017,FTIR,lab blank,yes,0.005,2,4,4,1,3,2,3,19,
Planiliza haematocheilus,So-iuy mullet,Mugiliformes,Mugilidae,2.5,18,18,1,3.3,pelagic-neritic,,Not assessed,CHIN,3,2015,2017,Jabeen et al. 2017,FTIR,lab blank,yes,0.005,2,4,4,1,3,2,3,19,
Psenopsis anomala,Pacific rudderfish,Perciformes,Centrolophidae,4,18,18,1,1.1,benthopelagic,,LC,CHIN,3,2015,2017,Jabeen et al. 2017,FTIR,lab blank,yes,0.005,3,3,4,1,3,2,3,19,
Sebastiscus marmoratus,False kelpfish,Scorpaeniformes,Sebastidae,3.7,18,18,1,4.2,demersal,,Not assessed,CHIN,3,2015,2017,Jabeen et al. 2017,FTIR,lab blank,yes,0.005,2,4,4,1,3,2,3,19,
Sillago sihama,Silver sillago,Perciformes,Sillaginidae,3.3,18,18,1,2.8,reef-associated,,LC,CHIN,3,2015,2017,Jabeen et al. 2017,FTIR,lab blank,yes,0.005,2,4,4,1,3,2,3,19,
Harpadon nehereus,Bombay duck,Aulopiformes,Synodontidae,4.2,15,18,0.833333333,2.5,benthopelagic,,Not assessed,CHIN,3,2017,2019,Su et al. 2019,FTIR,lab blank,yes,0.02,3,3,4,1,3,2,3,19,Are these eaten whole? Should check
Pampus cinereus,Silver pomfret,Perciformes,Stromateidae,3.3,5,9,0.555555556,1.1,benthopelagic,,Not assessed,CHIN,3,2017,2019,Su et al. 2019,FTIR,lab blank,yes,0.02,2,4,4,1,3,2,3,19,
Planiliza haematocheilus,So-iuy mullet,Mugiliformes,Mugilidae,2.5,9,17,0.529411765,1.264705882,pelagic-neritic,,Not assessed,CHIN,3,2017,2019,Su et al. 2019,FTIR,lab blank,yes,0.02,2,4,4,1,3,2,3,19,
Engraulis japonicus,Japanese anchovy,Clupeiformes,Engraulidae,3.1,49,64,0.765625,1.76,pelagic-neritic,,LC,KURO,3,2015,2016,Tanaka and Takada 2016,FTIR,lab blank,yes,0.2,4,4,4,1,2,4,,19,
Myctophum aurolaternatum,Golden lanternfish,Myctophiformes,Myctophidae,3.5,0,3,0,0,bathypelagic,,Not assessed,NPTG,1,Feb. -April 2007,2013,Van Noord 2013,none,NA,NA,NA,4,3,4,1,4,2,1,19,
